VCP SETUP D — 2126 stocks — 2015-2026
Total: 841 | WR: 53.7% | R:R: 1.89 | Exp: +5.6%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
JSWENERGY    2021-03-08      84.53   135.93   +60.8%  W    91 time_up 
ERIS         2021-03-16     604.32   692.26   +14.6%  W    90 time_up 
SUPREMEIND   2021-03-19    1922.70  2158.67   +12.3%  W    90 time_up 
ECLERX       2021-03-30     357.80   596.57   +66.7%  W    90 time_up 
GILLETTE     2021-03-30    5310.09  5286.30    -0.5%  L    90 time_up 
PIDILITIND   2021-04-06     914.92  1106.62   +20.9%  W    90 time_up 
360ONE       2021-04-07     279.30   252.68    -9.5%  L     8 sl_hit  
AAVAS        2021-04-09    2327.20  2924.70   +25.7%  W    90 time_up 
NAVA         2021-04-09      34.60    55.43   +60.2%  W    90 time_up 
DABUR        2021-04-15     542.49   555.06    +2.3%  W    90 time_up 
CYIENT       2021-04-29     651.08   893.70   +37.3%  W    90 time_up 
JPPOWER      2021-05-14       3.90     4.60   +17.9%  W    90 time_up 
IRCON        2021-05-17      42.31    35.57   -15.9%  L    86 sl_hit  
INDIGO       2021-05-31    1755.93  1816.18    +3.4%  W    91 time_up 
ATUL         2021-06-01    8432.82  9026.38    +7.0%  W    90 time_up 
FLUOROCHEM   2021-06-01     915.75  1692.55   +84.8%  W    90 time_up 
CESC         2021-06-07      60.49    68.22   +12.8%  W    91 time_up 
KSB          2021-06-07     207.54   236.12   +13.8%  W    91 time_up 
JSWENERGY    2021-06-09     140.97   249.00   +76.6%  W    90 time_up 
NTPC         2021-06-09      98.43    96.56    -1.9%  L    90 time_up 
KEI          2021-06-15     711.98   799.15   +12.2%  W    90 time_up 
IOB          2021-06-21      23.60    20.80   -11.9%  L    91 time_up 
APOLLOHOSP   2021-06-25    3394.62  5021.64   +47.9%  W    90 time_up 
GODREJIND    2021-06-29     583.60   577.45    -1.1%  L    90 time_up 
PERSISTENT   2021-06-29    1355.87  1743.04   +28.6%  W    90 time_up 
GICRE        2021-06-30     188.03   170.81    -9.2%  L    13 sl_hit  
KPITTECH     2021-06-30     252.86   333.54   +31.9%  W    90 time_up 
RVNL         2021-06-30      30.39    28.04    -7.7%  L    19 sl_hit  
ERIS         2021-07-01     749.84   736.86    -1.7%  L    90 time_up 
JBCHEPHARM   2021-07-02     890.54   897.05    +0.7%  W    90 time_up 
MUTHOOTFIN   2021-07-05    1463.20  1427.76    -2.4%  L    91 time_up 
RITES        2021-07-08     116.70   105.19    -9.9%  L    43 sl_hit  
ELGIEQUIP    2021-07-12     216.75   199.14    -8.1%  L    23 sl_hit  
CDSL         2021-07-13     596.97   663.93   +11.2%  W    90 time_up 
SONATSOFTW   2021-07-14     261.33   314.65   +20.4%  W    90 time_up 
HINDZINC     2021-07-15     231.00   213.20    -7.7%  L    12 sl_hit  
JBMA         2021-07-15      97.38   121.43   +24.7%  W    90 time_up 
MARICO       2021-07-15     502.97   549.71    +9.3%  W    90 time_up 
DCMSHRIRAM   2021-07-19    1001.60  1135.60   +13.4%  W    91 time_up 
AMBUJACEM    2021-07-20     391.11   397.06    +1.5%  W    90 time_up 
PIIND        2021-07-20    3041.74  3281.67    +7.9%  W    90 time_up 
CAPLIPOINT   2021-07-22     735.17   850.27   +15.7%  W    90 time_up 
MAHSCOOTER   2021-07-23    3661.27  4225.69   +15.4%  W    90 time_up 
TEJASNET     2021-07-23     200.38   445.85  +122.5%  W    90 time_up 
AJANTPHARM   2021-07-29    1508.98  1319.90   -12.5%  L    90 time_up 
SWANCORP     2021-07-29     175.07   132.25   -24.5%  L     6 sl_hit  
DEEPAKNTR    2021-07-30    2010.23  2215.12   +10.2%  W    90 time_up 
RHIM         2021-07-30     343.09   334.66    -2.5%  L    90 time_up 
ASTRAL       2021-08-02    1619.66  1461.06    -9.8%  L     9 sl_hit  
DABUR        2021-08-02     571.00   569.10    -0.3%  L    91 time_up 
ENDURANCE    2021-08-02    1722.05  1818.99    +5.6%  W    91 time_up 
ITC          2021-08-05     174.10   179.93    +3.3%  W    90 time_up 
ALKEM        2021-08-06    3299.88  3472.20    +5.2%  W    90 time_up 
TATAINVEST   2021-08-06     119.79   146.77   +22.5%  W    90 time_up 
BAYERCROP    2021-08-13    5378.25  4940.79    -8.1%  L     7 sl_hit  
GODFRYPHLP   2021-08-13     325.29   391.06   +20.2%  W    90 time_up 
JUBLFOOD     2021-08-18     801.31   795.68    -0.7%  L    90 time_up 
GODREJCP     2021-08-20     991.73   904.67    -8.8%  L    66 sl_hit  
BAJAJFINSV   2021-08-24    1642.87  1703.96    +3.7%  W    90 time_up 
BAJAJHLDNG   2021-08-25    3876.84  4712.87   +21.6%  W    90 time_up 
DIVISLAB     2021-08-30    4971.61  4557.56    -8.3%  L    84 sl_hit  
BAJFINANCE   2021-08-31     738.26   677.55    -8.2%  L    90 time_up 
BHARTIARTL   2021-08-31     637.06   722.61   +13.4%  W    90 time_up 
NHPC         2021-08-31      22.54    25.66   +13.9%  W    90 time_up 
AXISBANK     2021-09-01     795.58   709.39   -10.8%  L    77 sl_hit  
HAPPSTMNDS   2021-09-02    1443.84  1306.31    -9.5%  L    50 sl_hit  
UBL          2021-09-02    1530.10  1473.04    -3.7%  L    90 time_up 
RELIANCE     2021-09-03    1086.80  1129.73    +4.0%  W    90 time_up 
INDUSTOWER   2021-09-08     222.98   254.60   +14.2%  W    90 time_up 
BSOFT        2021-09-15     402.48   479.82   +19.2%  W    90 time_up 
TATAELXSI    2021-09-15    4943.26  5821.58   +17.8%  W    90 time_up 
ZENSARTECH   2021-09-15     544.11   390.96   -28.1%  L    75 sl_hit  
BPCL         2021-09-16     177.20   153.88   -13.2%  L    71 sl_hit  
EMAMILTD     2021-09-16     542.95   489.52    -9.8%  L    26 sl_hit  
NH           2021-09-23     548.12   502.75    -8.3%  L     5 sl_hit  
CGPOWER      2021-09-24     110.14   176.63   +60.4%  W    90 time_up 
SUNPHARMA    2021-09-29     774.23   716.73    -7.4%  L    61 sl_hit  
TATAPOWER    2021-09-29     147.45   215.54   +46.2%  W    90 time_up 
CANBK        2021-09-30      30.25    34.39   +13.7%  W    90 time_up 
NAVINFLUOR   2021-10-05    3907.61  3454.45   -11.6%  L    15 sl_hit  
IRCTC        2021-10-06     853.91   811.23    -5.0%  L    90 time_up 
BATAINDIA    2021-10-07    1834.87  1711.62    -6.7%  L    90 time_up 
PERSISTENT   2021-10-08    1938.56  2190.59   +13.0%  W    90 time_up 
AMBER        2021-10-11    3639.10  3499.75    -3.8%  L    91 time_up 
CHOLAHLDNG   2021-10-12     751.33   640.90   -14.7%  L    71 sl_hit  
DMART        2021-10-13    5117.15  4504.90   -12.0%  L    90 time_up 
ABREL        2021-10-14     949.74   855.52    -9.9%  L     6 sl_hit  
BAJAJHLDNG   2021-11-26    4771.94  4836.04    +1.3%  W    90 time_up 
ESCORTS      2021-12-29    1847.63  1726.10    -6.6%  L    69 sl_hit  
ZFCVINDIA    2022-01-06    8319.38  7658.74    -7.9%  L    36 sl_hit  
PAGEIND      2022-01-07   41919.44 42041.89    +0.3%  W    90 time_up 
ADANIGREEN   2022-02-17    2047.60  1803.75   -11.9%  L    18 sl_hit  
LEMONTREE    2022-03-09      57.70    67.65   +17.2%  W    90 time_up 
NH           2022-04-08     732.97   661.74    -9.7%  L    33 sl_hit  
M&M          2022-08-01    1206.32  1314.35    +9.0%  W    91 time_up 
JYOTHYLAB    2022-08-10     179.23   186.69    +4.2%  W    91 time_up 
KIMS         2022-08-11     255.38   295.14   +15.6%  W    90 time_up 
VBL          2022-08-24     204.80   229.50   +12.1%  W    90 time_up 
BLUEDART     2022-09-07    8948.76  8186.35    -8.5%  L    44 sl_hit  
INDIANB      2022-09-08     188.24   270.31   +43.6%  W    90 time_up 
HAL          2022-09-12    1246.63  1303.75    +4.6%  W    91 time_up 
INDUSINDBK   2022-09-14    1189.35  1208.14    +1.6%  W    90 time_up 
INDHOTEL     2022-09-15     331.05   330.65    -0.1%  L    90 time_up 
POONAWALLA   2022-09-15     311.76   299.14    -4.0%  L    90 time_up 
WELCORP      2022-09-15     255.09   211.81   -17.0%  L    43 sl_hit  
BDL          2022-09-16     449.71   458.99    +2.1%  W    90 time_up 
THERMAX      2022-09-16    2534.56  2182.99   -13.9%  L    10 sl_hit  
SOLARINDS    2022-09-20    3838.38  4000.28    +4.2%  W    90 time_up 
TVSMOTOR     2022-09-20    1068.17  1042.45    -2.4%  L    90 time_up 
PHOENIXLTD   2022-09-30     695.51   688.85    -1.0%  L    90 time_up 
HSCL         2022-10-07     107.00    95.75   -10.5%  L    35 sl_hit  
CRAFTSMAN    2022-10-19    2917.58  3490.96   +19.6%  W    90 time_up 
VGUARD       2022-10-19     251.65   249.58    -0.8%  L    90 time_up 
ASTRAZEN     2022-10-27    3267.34  3357.24    +2.8%  W    90 time_up 
CUMMINSIND   2022-10-28    1233.63  1319.00    +6.9%  W    91 time_up 
BANKBARODA   2022-11-07     144.61   153.33    +6.0%  W    91 time_up 
BRITANNIA    2022-11-07    3965.22  4431.17   +11.8%  W    91 time_up 
UNIONBANK    2022-11-10      60.94    66.28    +8.8%  W    90 time_up 
FORCEMOT     2022-11-14    1447.79  1274.51   -12.0%  L    91 time_up 
MAHSCOOTER   2022-11-14    5210.51  4710.46    -9.6%  L    15 sl_hit  
HUDCO        2022-11-17      43.73    39.97    -8.6%  L    90 time_up 
COCHINSHIP   2022-11-22     311.15   238.41   -23.4%  L    31 sl_hit  
NCC          2022-11-24      77.94    85.98   +10.3%  W    90 time_up 
JWL          2022-11-28      83.10    92.03   +10.8%  W    91 time_up 
JKTYRE       2022-11-29     190.72   156.25   -18.1%  L    56 sl_hit  
LTF          2022-12-02      87.32    85.65    -1.9%  L    90 time_up 
UBL          2022-12-02    1710.09  1596.01    -6.7%  L    42 sl_hit  
IDFCFIRSTB   2022-12-05      60.20    52.83   -12.2%  L    18 sl_hit  
BANKINDIA    2022-12-06      82.93    65.11   -21.5%  L    77 sl_hit  
LT           2022-12-08    2106.95  2109.96    +0.1%  W    90 time_up 
TRITURBINE   2022-12-08     294.39   260.91   -11.4%  L    14 sl_hit  
IOB          2022-12-09      25.80    24.90    -3.5%  L    90 time_up 
GICRE        2022-12-19     172.15   129.29   -24.9%  L    84 sl_hit  
MCX          2022-12-20     323.63   286.93   -11.3%  L    13 sl_hit  
ABBOTINDIA   2022-12-21   20662.19 20412.26    -1.2%  L    90 time_up 
LICHSGFIN    2022-12-21     390.81   342.30   -12.4%  L    61 sl_hit  
ZYDUSLIFE    2022-12-21     412.24   467.40   +13.4%  W    90 time_up 
IRB          2023-01-02      30.82    22.92   -25.6%  L    84 sl_hit  
CARBORUNIV   2023-01-04     919.15   981.19    +6.8%  W    91 time_up 
SUNDARMFIN   2023-01-05    2320.55  2173.21    -6.3%  L    74 sl_hit  
MCX          2023-01-13     315.86   280.52   -11.2%  L    24 sl_hit  
FEDERALBNK   2023-01-16     137.60   124.65    -9.4%  L    32 sl_hit  
HINDZINC     2023-01-18     285.76   246.87   -13.6%  L    54 sl_hit  
USHAMART     2023-01-19     197.12   215.29    +9.2%  W    90 time_up 
NHPC         2023-01-20      38.27    38.98    +1.8%  W    90 time_up 
HDFCBANK     2023-01-24     815.82   812.28    -0.4%  L    90 time_up 
PGEL         2023-01-24     120.95   106.44   -12.0%  L     3 sl_hit  
ITC          2023-01-27     293.57   358.75   +22.2%  W    90 time_up 
JBCHEPHARM   2023-01-30     983.95  1013.52    +3.0%  W    92 time_up 
KPITTECH     2023-01-31     750.06   921.20   +22.8%  W    91 time_up 
CGPOWER      2023-02-10     323.86   287.41   -11.3%  L    31 sl_hit  
BOSCHLTD     2023-02-15   16964.23 18256.79    +7.6%  W    90 time_up 
BLUESTARCO   2023-02-16     698.18   692.62    -0.8%  L    90 time_up 
CERA         2023-02-20    6293.29  7317.32   +16.3%  W    91 time_up 
IGL          2023-02-21     201.42   225.72   +12.1%  W    90 time_up 
JSL          2023-03-06     294.35   280.51    -4.7%  L    91 time_up 
PNBHOUSING   2023-03-08     513.79   430.44   -16.2%  L     6 sl_hit  
JBMA         2023-03-09     311.81   436.41   +40.0%  W    90 time_up 
AKZOINDIA    2023-03-15    2074.02  2145.51    +3.5%  W    90 time_up 
GODREJCP     2023-03-17     909.47  1034.49   +13.8%  W    90 time_up 
PIDILITIND   2023-03-22    1169.54  1317.86   +12.7%  W    90 time_up 
CYIENT       2023-03-24     943.43  1421.18   +50.6%  W    90 time_up 
ANANTRAJ     2023-04-05     132.55   176.63   +33.3%  W    90 time_up 
CHOLAFIN     2023-04-06     837.74  1181.29   +41.0%  W    90 time_up 
INDIAMART    2023-04-12    2581.80  2693.77    +4.3%  W    90 time_up 
APOLLOTYRE   2023-04-18     319.28   404.06   +26.6%  W    90 time_up 
RKFORGE      2023-04-20     321.70   493.51   +53.4%  W    90 time_up 
KIRLOSENG    2023-04-24     407.46   409.46    +0.5%  W    91 time_up 
JWL          2023-04-25     108.96   208.93   +91.8%  W    90 time_up 
CCL          2023-04-26     578.97   598.64    +3.4%  W    90 time_up 
SAPPHIRE     2023-05-02     248.08   274.61   +10.7%  W    90 time_up 
DEEPAKNTR    2023-05-03    1931.91  2032.04    +5.2%  W    90 time_up 
SUNDRMFAST   2023-05-05    1044.57  1202.21   +15.1%  W    90 time_up 
CHALET       2023-05-08     387.87   473.73   +22.1%  W    91 time_up 
ALKEM        2023-05-09    3520.25  3164.34   -10.1%  L    13 sl_hit  
GSPL         2023-05-10     267.93   271.23    +1.2%  W    90 time_up 
DLF          2023-05-15     458.49   464.87    +1.4%  W    91 time_up 
GESHIP       2023-05-15     649.95   680.64    +4.7%  W    91 time_up 
GAIL         2023-05-16     100.64    94.42    -6.2%  L    15 sl_hit  
EXIDEIND     2023-05-17     201.99   264.82   +31.1%  W    91 time_up 
ITC          2023-05-18     361.94   397.00    +9.7%  W    90 time_up 
ZYDUSLIFE    2023-05-18     496.42   648.34   +30.6%  W    90 time_up 
INDIGO       2023-05-19    2262.98  2455.60    +8.5%  W    90 time_up 
JBCHEPHARM   2023-05-25    1001.26  1376.02   +37.4%  W    90 time_up 
NATIONALUM   2023-05-26      74.97    79.53    +6.1%  W    90 time_up 
TATACHEM     2023-06-05     953.87  1062.73   +11.4%  W    91 time_up 
ULTRACEMCO   2023-06-06    7974.52  8478.21    +6.3%  W    90 time_up 
CANFINHOME   2023-06-07     725.85   760.19    +4.7%  W    90 time_up 
LINDEINDIA   2023-06-12    4172.08  6453.02   +54.7%  W    91 time_up 
USHAMART     2023-06-12     264.96   365.01   +37.8%  W    91 time_up 
MRF          2023-06-13   99521.77 109104.36    +9.6%  W    90 time_up 
SHYAMMETL    2023-06-14     336.88   433.31   +28.6%  W    90 time_up 
DALBHARAT    2023-06-15    2224.81  1900.08   -14.6%  L    36 sl_hit  
MAZDOCK      2023-06-16     577.99  1021.47   +76.7%  W    90 time_up 
M&MFIN       2023-06-19     296.85   265.20   -10.7%  L    58 sl_hit  
TIINDIA      2023-06-21    3160.63  2767.92   -12.4%  L    57 sl_hit  
HDFCLIFE     2023-06-27     663.11   638.16    -3.8%  L    90 time_up 
ESCORTS      2023-06-30    2208.07  3148.79   +42.6%  W    90 time_up 
MGL          2023-07-03    1010.96   933.28    -7.7%  L    44 sl_hit  
CHENNPETRO   2023-07-05     378.51   476.38   +25.9%  W    90 time_up 
KIRLOSBROS   2023-07-05     626.53   819.43   +30.8%  W    90 time_up 
MRPL         2023-07-05      87.43    94.03    +7.5%  W    90 time_up 
APOLLOHOSP   2023-07-06    5239.39  4881.82    -6.8%  L    35 sl_hit  
GAIL         2023-07-06      99.82   109.33    +9.5%  W    90 time_up 
HINDPETRO    2023-07-06     183.37   158.89   -13.3%  L    41 sl_hit  
VGUARD       2023-07-07     284.29   292.64    +2.9%  W    90 time_up 
FORTIS       2023-07-11     330.02   329.48    -0.2%  L    90 time_up 
MINDACORP    2023-07-11     299.02   324.40    +8.5%  W    90 time_up 
JSWSTEEL     2023-07-12     797.29   763.84    -4.2%  L    90 time_up 
COFORGE      2023-07-14     954.05   991.15    +3.9%  W    90 time_up 
GODREJPROP   2023-07-14    1666.10  1701.40    +2.1%  W    90 time_up 
KIMS         2023-07-14     384.48   381.19    -0.9%  L    90 time_up 
LTTS         2023-07-14    3984.93  4601.07   +15.5%  W    90 time_up 
OFSS         2023-07-14    3719.94  3791.81    +1.9%  W    90 time_up 
BSOFT        2023-07-17     371.63   526.63   +41.7%  W    91 time_up 
FSL          2023-07-17     131.91   156.40   +18.6%  W    91 time_up 
ANANTRAJ     2023-07-18     192.54   239.02   +24.1%  W    90 time_up 
ICICIGI      2023-07-19    1343.17  1337.17    -0.5%  L    90 time_up 
ASHOKLEY     2023-07-21      85.47    83.10    -2.8%  L    90 time_up 
SUZLON       2023-07-24      20.00    31.80   +59.0%  W    91 time_up 
ALKEM        2023-07-25    3843.86  3446.48   -10.3%  L    90 time_up 
AUROPHARMA   2023-07-27     828.75   854.09    +3.1%  W    90 time_up 
RECLTD       2023-07-27     165.43   243.49   +47.2%  W    90 time_up 
SYNGENE      2023-07-27     804.08   706.64   -12.1%  L    85 sl_hit  
BEL          2023-07-28     126.72   126.03    -0.5%  L    90 time_up 
BLS          2023-07-31     239.70   252.27    +5.2%  W    91 time_up 
IDFCFIRSTB   2023-07-31      86.92    82.93    -4.6%  L    91 time_up 
NLCINDIA     2023-07-31     110.80   130.50   +17.8%  W    91 time_up 
SYRMA        2023-07-31     495.13   604.87   +22.2%  W    91 time_up 
BERGEPAINT   2023-08-01     575.09   530.77    -7.7%  L    86 sl_hit  
CARBORUNIV   2023-08-01    1275.35  1116.76   -12.4%  L     8 sl_hit  
IDBI         2023-08-01      60.62    59.51    -1.8%  L    90 time_up 
PETRONET     2023-08-01     208.43   194.76    -6.6%  L    30 sl_hit  
ABBOTINDIA   2023-08-03   23873.67 21724.52    -9.0%  L    32 sl_hit  
TORNTPHARM   2023-08-04    2007.38  1793.56   -10.7%  L    27 sl_hit  
NATCOPHARM   2023-08-09     874.62   738.71   -15.5%  L    90 time_up 
3MINDIA      2023-08-11   28469.54 30650.21    +7.7%  W    90 time_up 
GRAVITA      2023-08-14     737.81  1140.64   +54.6%  W    91 time_up 
TRENT        2023-08-14    1926.61  2555.08   +32.6%  W    91 time_up 
EIHOTEL      2023-08-18     222.70   230.50    +3.5%  W    90 time_up 
HUDCO        2023-08-18      66.99    77.14   +15.2%  W    90 time_up 
BRIGADE      2023-08-22     590.55   729.57   +23.5%  W    90 time_up 
JSL          2023-08-23     425.62   528.44   +24.2%  W    90 time_up 
GMRAIRPORT   2023-08-24      64.90    57.35   -11.6%  L    90 time_up 
MAPMYINDIA   2023-08-24    1731.53  2174.09   +25.6%  W    90 time_up 
ASTERDM      2023-08-28     249.79   252.33    +1.0%  W    92 time_up 
PCBL         2023-08-29     162.06   242.09   +49.4%  W    91 time_up 
HAVELLS      2023-08-30    1333.82  1222.30    -8.4%  L    63 sl_hit  
INDHOTEL     2023-08-30     414.18   420.25    +1.5%  W    90 time_up 
TVSMOTOR     2023-08-30    1404.15  1809.41   +28.9%  W    90 time_up 
INTELLECT    2023-08-31     728.28   664.22    -8.8%  L    12 sl_hit  
MAHSCOOTER   2023-08-31    6835.49  7641.62   +11.8%  W    90 time_up 
JYOTHYLAB    2023-09-01     359.15   426.84   +18.9%  W    90 time_up 
NTPC         2023-09-01     215.72   246.69   +14.4%  W    90 time_up 
ONGC         2023-09-01     156.68   173.09   +10.5%  W    90 time_up 
RVNL         2023-09-01     136.32   162.20   +19.0%  W    90 time_up 
PRAJIND      2023-09-05     516.25   623.59   +20.8%  W    90 time_up 
ZFCVINDIA    2023-09-05   15311.59 16168.00    +5.6%  W    90 time_up 
GESHIP       2023-09-07     757.30   686.58    -9.3%  L    63 sl_hit  
NAM-INDIA    2023-09-07     311.80   429.30   +37.7%  W    90 time_up 
GRASIM       2023-09-12    1849.68  2060.35   +11.4%  W    90 time_up 
LEMONTREE    2023-09-12     117.65   118.45    +0.7%  W    90 time_up 
APARINDS     2023-09-15    5135.49  5311.66    +3.4%  W    90 time_up 
M&M          2023-09-15    1576.79  1436.46    -8.9%  L    46 sl_hit  
INDUSINDBK   2023-09-20    1424.63  1549.35    +8.8%  W    90 time_up 
VBL          2023-09-26     385.27   497.76   +29.2%  W    91 time_up 
COLPAL       2023-09-27    1943.99  2353.14   +21.1%  W    90 time_up 
ETERNAL      2023-10-05     105.40   127.55   +21.0%  W    90 time_up 
CRISIL       2023-10-10    3960.87  3972.82    +0.3%  W    90 time_up 
ESCORTS      2023-10-10    3332.58  2927.43   -12.2%  L    71 sl_hit  
APLLTD       2023-10-11     792.45   718.47    -9.3%  L    19 sl_hit  
MAHSEAMLES   2023-10-11     629.68   908.97   +44.4%  W    90 time_up 
WELCORP      2023-10-11     404.41   529.63   +31.0%  W    90 time_up 
WHIRLPOOL    2023-10-12    1705.16  1556.65    -8.7%  L    25 sl_hit  
CHOICEIN     2023-10-16     214.25   267.98   +25.1%  W    91 time_up 
MRF          2023-10-17   110545.22 135537.34   +22.6%  W    90 time_up 
GODFRYPHLP   2023-10-18     747.67   669.42   -10.5%  L     7 sl_hit  
TATAELXSI    2023-10-18    7451.15  8426.16   +13.1%  W    90 time_up 
FSL          2023-10-19     162.53   149.36    -8.1%  L     6 sl_hit  
DIXON        2023-10-27    5370.44  5874.73    +9.4%  W    90 time_up 
SOLARINDS    2023-11-03    5570.04  6333.41   +13.7%  W    90 time_up 
BIKAJI       2023-11-06     497.82   545.95    +9.7%  W    91 time_up 
ENDURANCE    2023-11-06    1707.13  2099.00   +22.9%  W    91 time_up 
COALINDIA    2023-11-13     290.34   376.19   +29.6%  W    91 time_up 
HCLTECH      2023-11-16    1210.58  1555.32   +28.5%  W    90 time_up 
SBILIFE      2023-11-17    1406.78  1445.98    +2.8%  W    90 time_up 
ANANDRATHI   2023-11-20    1161.51  1824.47   +57.1%  W    91 time_up 
LICHSGFIN    2023-11-29     464.21   629.89   +35.7%  W    90 time_up 
MUTHOOTFIN   2023-11-29    1378.68  1260.32    -8.6%  L    90 time_up 
ANANTRAJ     2023-11-30     267.64   338.75   +26.6%  W    90 time_up 
CANFINHOME   2023-11-30     758.44   706.17    -6.9%  L    54 sl_hit  
HINDCOPPER   2023-11-30     171.39   251.52   +46.8%  W    90 time_up 
MANYAVAR     2023-11-30    1346.14  1243.98    -7.6%  L    27 sl_hit  
PRESTIGE     2023-11-30    1000.79  1226.46   +22.6%  W    90 time_up 
SHRIRAMFIN   2023-11-30     388.91   457.04   +17.5%  W    90 time_up 
ULTRACEMCO   2023-11-30    8894.19  9685.75    +8.9%  W    90 time_up 
ADANIPORTS   2023-12-04     870.66  1330.39   +52.8%  W    91 time_up 
BANKINDIA    2023-12-04     103.03   131.57   +27.7%  W    91 time_up 
IFCI         2023-12-04      28.50    43.80   +53.7%  W    91 time_up 
J&KBANK      2023-12-04     110.89   137.80   +24.3%  W    91 time_up 
RVNL         2023-12-04     170.30   239.60   +40.7%  W    91 time_up 
PFIZER       2023-12-06    3902.84  4474.15   +14.6%  W    90 time_up 
SWANCORP     2023-12-08     465.13   686.59   +47.6%  W    90 time_up 
KARURVYSYA   2023-12-11     133.78   143.05    +6.9%  W    91 time_up 
NAM-INDIA    2023-12-13     436.91   469.46    +7.5%  W    90 time_up 
NLCINDIA     2023-12-13     199.40   214.09    +7.4%  W    90 time_up 
BASF         2023-12-15    3062.84  3195.24    +4.3%  W    90 time_up 
GPIL         2023-12-15     712.98   153.37   -78.5%  L    17 sl_hit  
DEEPAKFERT   2023-12-18     688.82   571.06   -17.1%  L    45 sl_hit  
HFCL         2023-12-18      77.89    89.86   +15.4%  W    91 time_up 
SAMMAANCAP   2023-12-18     204.23   157.98   -22.6%  L    86 sl_hit  
HDFCAMC      2023-12-19    1505.55  1804.20   +19.8%  W    90 time_up 
TATACONSUM   2023-12-19     952.48  1170.15   +22.9%  W    90 time_up 
UBL          2023-12-20    1666.63  1670.29    +0.2%  W    90 time_up 
GVT&D        2023-12-21     451.78   835.17   +84.9%  W    90 time_up 
JKTYRE       2023-12-21     375.16   399.02    +6.4%  W    90 time_up 
TECHNOE      2023-12-28     775.73   635.61   -18.1%  L    76 sl_hit  
TARIL        2023-12-29     115.63   197.74   +71.0%  W    90 time_up 
DIVISLAB     2024-01-02    3987.26  3532.73   -11.4%  L    27 sl_hit  
GODFRYPHLP   2024-01-02     698.63  1005.44   +43.9%  W    90 time_up 
CONCOR       2024-01-04     883.27   886.93    +0.4%  W    90 time_up 
OLECTRA      2024-01-05    1452.11  1919.43   +32.2%  W    90 time_up 
IRB          2024-01-09      45.40    69.19   +52.4%  W    90 time_up 
PATANJALI    2024-01-09     554.24   488.79   -11.8%  L    62 sl_hit  
APTUS        2024-01-11     332.52   301.78    -9.2%  L    62 sl_hit  
ABSLAMC      2024-01-12     476.09   435.04    -8.6%  L    68 sl_hit  
HINDZINC     2024-01-15     298.78   268.74   -10.1%  L    60 sl_hit  
ONGC         2024-01-15     207.32   252.11   +21.6%  W    91 time_up 
JWL          2024-01-16     382.04   306.95   -19.7%  L    57 sl_hit  
LICI         2024-01-16     872.74   943.84    +8.2%  W    90 time_up 
PNBHOUSING   2024-01-16     843.70   743.41   -11.9%  L    34 sl_hit  
INDUSINDBK   2024-01-17    1625.85  1474.58    -9.3%  L    90 time_up 
CENTRALBK    2024-01-19      53.44    60.54   +13.3%  W    90 time_up 
ELGIEQUIP    2024-01-23     550.25   609.24   +10.7%  W    90 time_up 
PERSISTENT   2024-01-23    4063.82  3467.47   -14.7%  L    90 sl_hit  
CUMMINSIND   2024-01-24    2101.33  3079.14   +46.5%  W    90 time_up 
JYOTHYLAB    2024-01-24     526.57   453.62   -13.8%  L    15 sl_hit  
FACT         2024-01-25     885.62   780.27   -11.9%  L    14 sl_hit  
MCX          2024-01-29     679.59   809.12   +19.1%  W    91 time_up 
MRF          2024-01-29   143435.66 130425.73    -9.1%  L    91 time_up 
TATAINVEST   2024-01-29     478.95   656.40   +37.0%  W    91 time_up 
BPCL         2024-01-30     224.84   275.94   +22.7%  W    90 time_up 
UCOBANK      2024-01-30      42.95    57.44   +33.7%  W    90 time_up 
UTIAMC       2024-01-30     830.24   751.69    -9.5%  L    43 sl_hit  
VOLTAS       2024-01-31    1082.73  1461.23   +35.0%  W    90 time_up 
TIMKEN       2024-02-02    3279.90  3039.14    -7.3%  L     5 sl_hit  
GLAND        2024-02-06    2098.99  1795.18   -14.5%  L    20 sl_hit  
CANBK        2024-02-07     103.79   108.42    +4.5%  W    90 time_up 
MANAPPURAM   2024-02-08     176.56   155.58   -11.9%  L    34 sl_hit  
AMBUJACEM    2024-02-16     581.21   611.31    +5.2%  W    90 time_up 
ATGL         2024-02-26    1074.87   964.49   -10.3%  L    15 sl_hit  
BAJAJHLDNG   2024-02-27    8569.52  7831.41    -8.6%  L    48 sl_hit  
RELIANCE     2024-02-29    1450.07  1430.19    -1.4%  L    90 time_up 
FINPIPE      2024-04-24     267.41   312.29   +16.8%  W    90 time_up 
STARHEALTH   2024-04-30     571.60   540.15    -5.5%  L     7 sl_hit  
SIEMENS      2024-05-06    3572.60  3915.99    +9.6%  W    91 time_up 
INDIGO       2024-05-24    4249.32  4475.59    +5.3%  W    90 time_up 
UTIAMC       2024-06-06     888.65  1149.15   +29.3%  W    90 time_up 
JWL          2024-06-12     691.40   508.80   -26.4%  L    90 time_up 
AIAENG       2024-06-19    4234.53  4303.44    +1.6%  W    90 time_up 
WOCKPHARMA   2024-06-27     653.95  1010.05   +54.5%  W    90 time_up 
GLENMARK     2024-07-03    1276.83  1662.87   +30.2%  W    90 time_up 
