VCP SETUP A — 2126 stocks — 2015-2026
Total: 3487 | WR: 54.7% | R:R: 2.01 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
HINDALCO     2021-12-31     462.11   553.41   +19.8%  W    90 time_up 
MUTHOOTFIN   2022-01-03    1446.11  1272.25   -12.0%  L    42 sl_hit  
TITAGARH     2022-01-03      95.17    76.87   -19.2%  L    52 sl_hit  
ASTRAL       2022-01-04    1782.69  1469.99   -17.5%  L    41 sl_hit  
BEL          2022-01-04      67.87    59.43   -12.4%  L    51 sl_hit  
BRITANNIA    2022-01-04    3426.38  3199.94    -6.6%  L    41 sl_hit  
NTPC         2022-01-04     113.86   127.24   +11.7%  W    90 time_up 
TRIVENI      2022-01-04     238.30   309.12   +29.7%  W    90 time_up 
BAJFINANCE   2022-01-05     752.62   600.95   -20.1%  L    61 sl_hit  
JSL          2022-01-05     197.55   172.82   -12.5%  L    69 sl_hit  
ONGC         2022-01-05     115.90   133.87   +15.5%  W    90 time_up 
RKFORGE      2022-01-05     192.60   166.06   -13.8%  L    48 sl_hit  
THERMAX      2022-01-05    1811.92  1983.83    +9.5%  W    90 time_up 
GMDCLTD      2022-01-06      68.25   192.54  +182.1%  W    90 time_up 
MARUTI       2022-01-06    7602.67  6529.08   -14.1%  L    60 sl_hit  
PAGEIND      2022-01-06   39991.53 42342.03    +5.9%  W    90 time_up 
INDIACEM     2022-01-07     239.02   219.94    -8.0%  L    90 time_up 
ADANIGREEN   2022-01-11    1567.95  2665.15   +70.0%  W    90 time_up 
SCHAEFFLER   2022-01-11    1851.36  1957.54    +5.7%  W    90 time_up 
USHAMART     2022-01-11      93.97    81.52   -13.2%  L    13 sl_hit  
ASHOKLEY     2022-01-12      63.81    52.21   -18.2%  L    43 sl_hit  
KEC          2022-01-13     506.31   431.77   -14.7%  L    42 sl_hit  
M&M          2022-01-13     864.40   767.74   -11.2%  L    42 sl_hit  
ADANIENT     2022-01-14    1866.92  1660.99   -11.0%  L    31 sl_hit  
EIDPARRY     2022-01-14     497.87   408.62   -17.9%  L    33 sl_hit  
IRCTC        2022-01-14     863.51   774.64   -10.3%  L    10 sl_hit  
JWL          2022-01-14      53.51    41.30   -22.8%  L    31 sl_hit  
RELIANCE     2022-01-14    1155.28  1157.48    +0.2%  W    94 time_up 
CASTROLIND   2022-01-17     105.01    96.65    -8.0%  L     7 sl_hit  
SAREGAMA     2022-01-17     487.70   439.78    -9.8%  L    10 sl_hit  
ABB          2022-01-18    2325.60  2008.75   -13.6%  L    28 sl_hit  
ALOKINDS     2022-01-18      32.05    21.90   -31.7%  L    37 sl_hit  
MMTC         2022-01-18      46.85    41.75   -10.9%  L    37 sl_hit  
MRPL         2022-01-18      45.19    36.77   -18.6%  L    37 sl_hit  
PRESTIGE     2022-01-18     522.55   433.55   -17.0%  L    27 sl_hit  
ZFCVINDIA    2022-01-18    8521.21  7658.74   -10.1%  L    24 sl_hit  
POWERGRID    2022-01-20     131.07   119.93    -8.5%  L    35 sl_hit  
GAIL         2022-01-24      78.29    90.73   +15.9%  W    91 time_up 
ICICIBANK    2022-01-24     774.51   677.36   -12.5%  L    38 sl_hit  
SBIN         2022-01-25     479.26   460.73    -3.9%  L    90 time_up 
GRAVITA      2022-02-01     363.10   304.41   -16.2%  L    90 time_up 
IIFL         2022-02-01     319.37   273.76   -14.3%  L    34 sl_hit  
INDHOTEL     2022-02-01     220.30   188.53   -14.4%  L    31 sl_hit  
INDIANB      2022-02-01     135.78   142.75    +5.1%  W    90 time_up 
LT           2022-02-01    1910.25  1642.74   -14.0%  L    31 sl_hit  
BLS          2022-02-03      62.55    52.76   -15.7%  L    18 sl_hit  
OLECTRA      2022-02-03     864.14   739.17   -14.5%  L    11 sl_hit  
LEMONTREE    2022-02-04      50.45    66.65   +32.1%  W    90 time_up 
NLCINDIA     2022-02-07      65.60    56.60   -13.7%  L    11 sl_hit  
COALINDIA    2022-02-09     120.82   110.80    -8.3%  L    15 sl_hit  
REDINGTON    2022-02-15     147.90   135.77    -8.2%  L     6 sl_hit  
CUMMINSIND   2022-02-17     924.46   947.39    +2.5%  W    90 time_up 
CHALET       2022-02-21     282.44   290.98    +3.0%  W    91 time_up 
LINDEINDIA   2022-02-21    2940.91  2932.20    -0.3%  L    91 time_up 
COALINDIA    2022-02-25     120.73   135.36   +12.1%  W    90 time_up 
NH           2022-02-28     678.98   663.28    -2.3%  L    91 time_up 
TATASTEEL    2022-02-28     107.44    90.03   -16.2%  L    84 sl_hit  
BEL          2022-03-02      68.33    74.81    +9.5%  W    90 time_up 
NATIONALUM   2022-03-02     104.88    91.06   -13.2%  L    54 sl_hit  
VBL          2022-03-02     128.92   139.58    +8.3%  W    90 time_up 
IOC          2022-03-10      64.75    63.17    -2.4%  L    90 time_up 
USHAMART     2022-03-14     103.29   100.94    -2.3%  L    91 time_up 
PHOENIXLTD   2022-03-16     491.94   556.21   +13.1%  W    90 time_up 
ATGL         2022-03-23    1895.88  2380.24   +25.6%  W    90 time_up 
GMDCLTD      2022-04-07     190.45   126.38   -33.6%  L    90 time_up 
ANGELONE     2022-04-08     158.02   134.97   -14.6%  L    28 sl_hit  
AFFLE        2022-04-11    1287.85  1110.40   -13.8%  L    25 sl_hit  
HINDZINC     2022-04-11     243.83   206.68   -15.2%  L    30 sl_hit  
ADANIGREEN   2022-04-12    2792.40  1711.10   -38.7%  L    65 sl_hit  
SWANCORP     2022-04-12     272.19   189.38   -30.4%  L    90 time_up 
NAVA         2022-04-19      73.63    83.41   +13.3%  W    90 time_up 
TRIVENI      2022-04-19     331.85   283.00   -14.7%  L    17 sl_hit  
APLAPOLLO    2022-04-22    1058.68   871.22   -17.7%  L    18 sl_hit  
PGEL         2022-04-27      81.81    69.98   -14.5%  L    13 sl_hit  
OIL          2022-05-17     133.29   111.27   -16.5%  L    48 sl_hit  
ADANIPOWER   2022-05-18      58.94    72.47   +23.0%  W    90 time_up 
VBL          2022-06-02     150.48   207.05   +37.6%  W    91 time_up 
TITAGARH     2022-06-10     110.89    93.68   -15.5%  L    10 sl_hit  
BLS          2022-06-15     103.82   143.50   +38.2%  W    90 time_up 
PHOENIXLTD   2022-06-22     553.25   692.43   +25.2%  W    90 time_up 
MARUTI       2022-06-30    8170.45  8472.79    +3.7%  W    90 time_up 
COROMANDEL   2022-07-04     949.45   961.01    +1.2%  W    91 time_up 
ELECON       2022-07-07     147.36   165.99   +12.6%  W    91 time_up 
INDHOTEL     2022-07-07     242.02   338.69   +39.9%  W    91 time_up 
M&M          2022-07-08    1093.62  1224.98   +12.0%  W    90 time_up 
DCMSHRIRAM   2022-07-15     983.35  1015.55    +3.3%  W    90 time_up 
GESHIP       2022-07-19     384.12   458.82   +19.4%  W    90 time_up 
TIINDIA      2022-07-21    2181.95  2820.58   +29.3%  W    90 time_up 
BANKBARODA   2022-07-22     106.02   128.49   +21.2%  W    90 time_up 
EICHERMOT    2022-07-22    3019.61  3526.00   +16.8%  W    90 time_up 
AIAENG       2022-08-01    2434.50  2647.32    +8.7%  W    91 time_up 
HEROMOTOCO   2022-08-01    2506.93  2362.25    -5.8%  L    91 time_up 
ELGIEQUIP    2022-08-02     404.55   479.52   +18.5%  W    90 time_up 
KEI          2022-08-04    1382.29  1592.28   +15.2%  W    90 time_up 
SOLARINDS    2022-08-04    2977.01  3950.10   +32.7%  W    90 time_up 
BAYERCROP    2022-08-05    4990.25  4389.36   -12.0%  L    42 sl_hit  
KIMS         2022-08-05     247.00   296.17   +19.9%  W    90 time_up 
TATAELXSI    2022-08-05    9044.71  7000.40   -22.6%  L    74 sl_hit  
HAL          2022-08-08    1025.31  1236.42   +20.6%  W    91 time_up 
JYOTHYLAB    2022-08-10     179.23   186.69    +4.2%  W    91 time_up 
ADANIENT     2022-08-16    2971.77  4017.04   +35.2%  W    90 time_up 
TITAGARH     2022-08-16     136.28   165.61   +21.5%  W    90 time_up 
THERMAX      2022-08-18    2193.24  2176.56    -0.8%  L    90 time_up 
ASHOKLEY     2022-08-19      68.47    66.96    -2.2%  L    90 time_up 
ASAHIINDIA   2022-08-24     615.84   612.55    -0.5%  L    90 time_up 
TEJASNET     2022-08-24     522.87   602.58   +15.2%  W    90 time_up 
INDIANB      2022-08-25     175.01   254.82   +45.6%  W    90 time_up 
CCL          2022-08-26     465.75   501.79    +7.7%  W    90 time_up 
PRAJIND      2022-08-29     394.08   375.25    -4.8%  L    91 time_up 
CGCL         2022-08-30     680.25   701.51    +3.1%  W    90 time_up 
CHOLAFIN     2022-08-30     785.63   716.00    -8.9%  L    90 time_up 
ITC          2022-08-30     271.93   288.52    +6.1%  W    90 time_up 
PATANJALI    2022-08-30     398.58   418.56    +5.0%  W    90 time_up 
RELINFRA     2022-09-01     193.85   157.70   -18.6%  L    90 time_up 
SIEMENS      2022-09-01    1691.82  1607.31    -5.0%  L    90 time_up 
OLECTRA      2022-09-05     649.70   569.54   -12.3%  L    22 sl_hit  
CREDITACC    2022-09-06    1044.47   928.04   -11.2%  L    41 sl_hit  
VBL          2022-09-06     217.29   268.75   +23.7%  W    90 time_up 
BLUEDART     2022-09-07    8948.76  8186.35    -8.5%  L    44 sl_hit  
NLCINDIA     2022-09-07      74.41    62.08   -16.6%  L    26 sl_hit  
CIPLA        2022-09-08    1027.77  1075.70    +4.7%  W    90 time_up 
CONCOR       2022-09-08     694.45   734.82    +5.8%  W    90 time_up 
ADANIPORTS   2022-09-09     892.60   803.57   -10.0%  L    20 sl_hit  
LEMONTREE    2022-09-09      80.05    94.20   +17.7%  W    90 time_up 
YESBANK      2022-09-09      17.50    15.50   -11.4%  L    17 sl_hit  
PGEL         2022-09-13      94.99   106.09   +11.7%  W    90 time_up 
INDUSINDBK   2022-09-14    1189.35  1208.14    +1.6%  W    90 time_up 
NHPC         2022-09-15      34.77    37.64    +8.3%  W    90 time_up 
POONAWALLA   2022-09-15     311.76   299.14    -4.0%  L    90 time_up 
WELCORP      2022-09-15     255.09   211.81   -17.0%  L    43 sl_hit  
BDL          2022-09-16     449.71   458.99    +2.1%  W    90 time_up 
BHARTIARTL   2022-09-16     765.39   811.23    +6.0%  W    90 time_up 
FLUOROCHEM   2022-09-19    3649.70  3095.08   -15.2%  L    88 sl_hit  
TVSMOTOR     2022-09-19    1013.93  1042.45    +2.8%  W    91 time_up 
IIFL         2022-09-21     362.07   500.79   +38.3%  W    90 time_up 
TRENT        2022-09-21    1457.54  1408.14    -3.4%  L    90 time_up 
HSCL         2022-09-22     106.95    95.75   -10.5%  L    50 sl_hit  
SCHNEIDER    2022-09-23     177.70   149.50   -15.9%  L    90 time_up 
PHOENIXLTD   2022-09-27     664.64   657.98    -1.0%  L    90 time_up 
HINDUNILVR   2022-09-29    2539.00  2326.28    -8.4%  L    46 sl_hit  
SUNPHARMA    2022-09-29     898.12   960.17    +6.9%  W    90 time_up 
CHALET       2022-10-03     366.59   355.66    -3.0%  L    91 time_up 
KALYANKJIL   2022-10-04      99.39   124.09   +24.9%  W    90 time_up 
EIDPARRY     2022-10-06     589.79   553.30    -6.2%  L    90 time_up 
INDHOTEL     2022-10-07     338.44   307.11    -9.3%  L     7 sl_hit  
TATACHEM     2022-10-07    1132.33   973.23   -14.1%  L    42 sl_hit  
VGUARD       2022-10-07     247.75   259.52    +4.8%  W    90 time_up 
FEDERALBNK   2022-10-12     123.18   132.65    +7.7%  W    90 time_up 
GODFRYPHLP   2022-10-13     414.51   648.88   +56.5%  W    90 time_up 
RITES        2022-10-13     168.37   147.06   -12.7%  L    90 time_up 
360ONE       2022-10-17     439.21   431.33    -1.8%  L    91 time_up 
APARINDS     2022-10-17    1444.74  1614.43   +11.8%  W    91 time_up 
CUB          2022-10-17     188.12   161.28   -14.3%  L    67 sl_hit  
CRAFTSMAN    2022-10-19    2917.58  3490.96   +19.6%  W    90 time_up 
TIINDIA      2022-10-20    2781.29  2627.05    -5.5%  L    90 time_up 
BANKBARODA   2022-10-21     131.09   162.46   +23.9%  W    90 time_up 
POLYCAB      2022-10-21    2655.71  2474.41    -6.8%  L    63 sl_hit  
ICICIBANK    2022-10-25     902.70   850.64    -5.8%  L    90 time_up 
MRF          2022-10-25   86925.46 89852.01    +3.4%  W    90 time_up 
RCF          2022-10-25      94.31   117.89   +25.0%  W    90 time_up 
RVNL         2022-10-25      37.97    73.29   +93.0%  W    90 time_up 
SBIN         2022-10-25     547.17   567.89    +3.8%  W    90 time_up 
ASTRAZEN     2022-10-27    3267.34  3357.24    +2.8%  W    90 time_up 
JINDALSTEL   2022-10-27     466.09   591.09   +26.8%  W    90 time_up 
CUMMINSIND   2022-10-28    1233.63  1319.00    +6.9%  W    91 time_up 
OIL          2022-10-28     110.24   138.50   +25.6%  W    91 time_up 
SJVN         2022-10-28      32.72    31.03    -5.2%  L    91 time_up 
ACE          2022-10-31     307.01   267.56   -12.8%  L    53 sl_hit  
M&M          2022-10-31    1314.35  1297.78    -1.3%  L    91 time_up 
TORNTPHARM   2022-10-31    1584.75  1486.69    -6.2%  L    91 time_up 
ABBOTINDIA   2022-11-01   18876.25 20122.54    +6.6%  W    90 time_up 
TATAPOWER    2022-11-01     226.09   204.81    -9.4%  L    51 sl_hit  
ASTERDM      2022-11-02     201.43   177.50   -11.9%  L    12 sl_hit  
COCHINSHIP   2022-11-02     276.38   238.41   -13.7%  L    51 sl_hit  
GRSE         2022-11-02     476.36   384.79   -19.2%  L    51 sl_hit  
BEL          2022-11-04     104.73    95.59    -8.7%  L    42 sl_hit  
SUNTV        2022-11-04     504.10   458.09    -9.1%  L    10 sl_hit  
BRITANNIA    2022-11-07    3965.22  4431.17   +11.8%  W    91 time_up 
HUDCO        2022-11-07      37.56    41.49   +10.5%  W    91 time_up 
SARDAEN      2022-11-07      88.04   103.67   +17.8%  W    91 time_up 
USHAMART     2022-11-07     138.90   127.08    -8.5%  L     3 sl_hit  
SOLARINDS    2022-11-09    4153.56  3746.94    -9.8%  L    16 sl_hit  
YESBANK      2022-11-09      16.55    16.85    +1.8%  W    90 time_up 
JWL          2022-11-10      77.98    98.68   +26.5%  W    90 time_up 
MAHSCOOTER   2022-11-10    4983.68  4530.51    -9.1%  L    25 sl_hit  
UNIONBANK    2022-11-10      60.94    66.28    +8.8%  W    90 time_up 
AKZOINDIA    2022-11-11    2006.86  1963.30    -2.2%  L    90 time_up 
BHEL         2022-11-14      70.91    71.05    +0.2%  W    91 time_up 
HEROMOTOCO   2022-11-15    2409.82  2258.43    -6.3%  L    86 sl_hit  
MGL          2022-11-15     832.06   824.75    -0.9%  L    90 time_up 
NCC          2022-11-15      75.85    89.62   +18.1%  W    90 time_up 
RAILTEL      2022-11-15     130.06   110.22   -15.3%  L    90 time_up 
HAL          2022-11-16    1278.65  1185.50    -7.3%  L    90 time_up 
KOTAKBANK    2022-11-16     391.97   341.57   -12.9%  L    72 sl_hit  
KIRLOSBROS   2022-11-18     392.44   314.97   -19.7%  L    32 sl_hit  
GPIL         2022-11-22     300.64   357.42   +18.9%  W    90 time_up 
MAHABANK     2022-11-23      24.37    23.38    -4.0%  L    90 time_up 
NLCINDIA     2022-11-24      77.70    74.59    -4.0%  L    90 time_up 
IDFCFIRSTB   2022-11-25      57.86    52.83    -8.7%  L    28 sl_hit  
LT           2022-11-25    2004.94  2098.64    +4.7%  W    90 time_up 
UCOBANK      2022-11-25      20.37    24.99   +22.6%  W    90 time_up 
APOLLOTYRE   2022-11-28     300.54   302.13    +0.5%  W    91 time_up 
IRCON        2022-11-28      57.02    49.64   -12.9%  L    91 time_up 
IRFC         2022-11-28      31.79    25.68   -19.2%  L    91 time_up 
JKTYRE       2022-11-28     188.43   156.25   -17.1%  L    57 sl_hit  
PIDILITIND   2022-11-29    1342.19  1225.24    -8.7%  L    24 sl_hit  
TITAGARH     2022-11-29     182.97   207.61   +13.5%  W    90 time_up 
BLS          2022-11-30     183.50   153.40   -16.4%  L    90 time_up 
HINDUNILVR   2022-11-30    2540.71  2328.98    -8.3%  L    90 time_up 
JYOTHYLAB    2022-11-30     196.67   184.32    -6.3%  L    90 time_up 
TEJASNET     2022-12-01     659.73   565.52   -14.3%  L    21 sl_hit  
APLAPOLLO    2022-12-02    1173.34  1027.65   -12.4%  L    21 sl_hit  
INDIANB      2022-12-02     261.11   253.85    -2.8%  L    90 time_up 
LTF          2022-12-02      87.32    85.65    -1.9%  L    90 time_up 
M&MFIN       2022-12-02     214.95   237.06   +10.3%  W    90 time_up 
RELINFRA     2022-12-02     162.90   135.45   -16.9%  L    20 sl_hit  
SBILIFE      2022-12-02    1285.56  1101.19   -14.3%  L    61 sl_hit  
UBL          2022-12-02    1710.09  1596.01    -6.7%  L    42 sl_hit  
BANKINDIA    2022-12-06      82.93    65.11   -21.5%  L    77 sl_hit  
CANBK        2022-12-06      57.62    52.72    -8.5%  L    17 sl_hit  
CENTRALBK    2022-12-06      25.81    26.40    +2.3%  W    90 time_up 
ELGIEQUIP    2022-12-06     510.84   442.92   -13.3%  L    16 sl_hit  
JBCHEPHARM   2022-12-06     985.29   952.07    -3.4%  L    90 time_up 
PNB          2022-12-06      52.58    48.65    -7.5%  L    90 time_up 
TECHNOE      2022-12-06     309.87   328.85    +6.1%  W    90 time_up 
SIEMENS      2022-12-07    1682.84  1915.35   +13.8%  W    91 time_up 
AXISBANK     2022-12-08     936.87   858.68    -8.3%  L    90 time_up 
KARURVYSYA   2022-12-08      89.09    81.82    -8.2%  L    90 time_up 
TRITURBINE   2022-12-08     294.39   260.91   -11.4%  L    14 sl_hit  
IOB          2022-12-09      25.80    24.90    -3.5%  L    90 time_up 
RKFORGE      2022-12-12     241.91   263.42    +8.9%  W    91 time_up 
SUPREMEIND   2022-12-12    2479.57  2606.85    +5.1%  W    91 time_up 
HDFCBANK     2022-12-13     793.11   754.74    -4.8%  L    90 time_up 
JMFINANCIL   2022-12-13      76.28    63.34   -17.0%  L    10 sl_hit  
LICHSGFIN    2022-12-13     390.58   342.30   -12.4%  L    69 sl_hit  
BHARATFORG   2022-12-14     890.08   799.33   -10.2%  L    76 sl_hit  
GICRE        2022-12-14     146.93   126.30   -14.0%  L    90 time_up 
INDUSINDBK   2022-12-14    1225.94  1092.16   -10.9%  L    44 sl_hit  
PGEL         2022-12-14     116.91   138.33   +18.3%  W    90 time_up 
FINCABLES    2022-12-15     574.22   766.54   +33.5%  W    90 time_up 
J&KBANK      2022-12-15      54.31    44.18   -18.6%  L    90 time_up 
SOLARINDS    2022-12-15    4197.46  3788.55    -9.7%  L    90 time_up 
ENGINERSIN   2022-12-19      79.03    68.91   -12.8%  L     4 sl_hit  
SUNDARMFIN   2022-12-19    2340.63  2173.21    -7.2%  L    91 time_up 
DALBHARAT    2022-12-20    1833.54  1775.52    -3.2%  L    90 time_up 
MCX          2022-12-20     323.63   286.93   -11.3%  L    13 sl_hit  
ZYDUSLIFE    2022-12-21     412.24   467.40   +13.4%  W    90 time_up 
IRB          2022-12-22      29.28    24.98   -14.7%  L    90 time_up 
USHAMART     2022-12-23     140.61   205.38   +46.1%  W    90 time_up 
CCL          2022-12-27     547.88   538.75    -1.7%  L    90 time_up 
FACT         2022-12-28     322.34   196.40   -39.1%  L    90 time_up 
CANBK        2022-12-30      60.27    51.43   -14.7%  L    33 sl_hit  
CRISIL       2022-12-30    2951.73  3119.31    +5.7%  W    91 time_up 
RECLTD       2022-12-30      97.03    98.81    +1.8%  W    91 time_up 
NAVA         2023-01-02     123.98   107.99   -12.9%  L    91 time_up 
PNBHOUSING   2023-01-02     472.30   445.72    -5.6%  L    91 time_up 
ANANDRATHI   2023-01-04     350.63   396.51   +13.1%  W    91 time_up 
CARBORUNIV   2023-01-04     919.15   981.19    +6.8%  W    91 time_up 
HDFCLIFE     2023-01-05     603.72   510.85   -15.4%  L    27 sl_hit  
PETRONET     2023-01-05     196.79   210.35    +6.9%  W    90 time_up 
SUNDRMFAST   2023-01-05     985.14   975.39    -1.0%  L    90 time_up 
HAVELLS      2023-01-06    1167.85  1172.81    +0.4%  W    90 time_up 
CGPOWER      2023-01-09     285.93   286.01    +0.0%  W    91 time_up 
KEC          2023-01-09     506.28   467.84    -7.6%  L    91 time_up 
INDIGO       2023-01-10    2040.70  1898.89    -7.0%  L    90 time_up 
TATACOMM     2023-01-11    1365.21  1140.48   -16.5%  L    47 sl_hit  
NEULANDLAB   2023-01-12    1696.54  1558.62    -8.1%  L     7 sl_hit  
FEDERALBNK   2023-01-13     135.79   124.65    -8.2%  L    35 sl_hit  
MCX          2023-01-13     315.86   280.52   -11.2%  L    24 sl_hit  
HINDZINC     2023-01-17     274.85   246.87   -10.2%  L    55 sl_hit  
IIFL         2023-01-17     503.72   433.55   -13.9%  L    35 sl_hit  
ULTRACEMCO   2023-01-17    7254.80  6593.45    -9.1%  L     8 sl_hit  
360ONE       2023-01-19     456.94   402.78   -11.8%  L    54 sl_hit  
GRAVITA      2023-01-19     458.73   498.10    +8.6%  W    90 time_up 
ENGINERSIN   2023-01-20      81.20    69.24   -14.7%  L    33 sl_hit  
GODREJCP     2023-01-20     895.02   936.06    +4.6%  W    90 time_up 
NHPC         2023-01-20      38.27    38.98    +1.8%  W    90 time_up 
SONATSOFTW   2023-01-24     299.32   389.69   +30.2%  W    90 time_up 
ITC          2023-01-27     293.57   358.75   +22.2%  W    90 time_up 
JSL          2023-01-27     252.76   275.57    +9.0%  W    90 time_up 
KPITTECH     2023-01-31     750.06   921.20   +22.8%  W    91 time_up 
M&M          2023-01-31    1343.74  1163.14   -13.4%  L    41 sl_hit  
RADICO       2023-02-01    1110.33  1092.38    -1.6%  L    90 time_up 
CERA         2023-02-02    5509.07  6248.50   +13.4%  W    90 time_up 
DATAPATTNS   2023-02-03    1441.87  1701.03   +18.0%  W    90 time_up 
ACE          2023-02-07     359.75   445.77   +23.9%  W    90 time_up 
BAJAJHLDNG   2023-02-07    5884.12  6622.72   +12.6%  W    90 time_up 
DRREDDY      2023-02-07     870.45   961.97   +10.5%  W    90 time_up 
IGL          2023-02-08     200.96   235.16   +17.0%  W    90 time_up 
BOSCHLTD     2023-02-09   16650.27 18590.13   +11.7%  W    90 time_up 
CUMMINSIND   2023-02-09    1506.23  1577.12    +4.7%  W    90 time_up 
APLAPOLLO    2023-02-14    1205.12  1140.24    -5.4%  L    90 time_up 
MGL          2023-02-14     831.72   984.87   +18.4%  W    90 time_up 
TVSMOTOR     2023-02-15    1097.59  1234.08   +12.4%  W    90 time_up 
BLUESTARCO   2023-02-16     698.18   692.62    -0.8%  L    90 time_up 
ZENTEC       2023-02-16     230.38   332.75   +44.4%  W    90 time_up 
PERSISTENT   2023-02-20    2480.61  2470.34    -0.4%  L    91 time_up 
TRITURBINE   2023-02-20     294.34   393.68   +33.8%  W    91 time_up 
ULTRACEMCO   2023-02-20    7303.18  7587.17    +3.9%  W    91 time_up 
KIRLOSENG    2023-02-21     322.01   411.91   +27.9%  W    90 time_up 
POLYMED      2023-02-22     945.01   967.10    +2.3%  W    90 time_up 
BRIGADE      2023-02-27     473.00   542.52   +14.7%  W    91 time_up 
GSPL         2023-03-01     273.71   289.76    +5.9%  W    90 time_up 
CANBK        2023-03-03      55.19    55.95    +1.4%  W    90 time_up 
ONGC         2023-03-06     136.00   133.59    -1.8%  L    91 time_up 
TITAGARH     2023-03-06     226.36   374.76   +65.6%  W    91 time_up 
AJANTPHARM   2023-03-08    1170.93  1346.92   +15.0%  W    90 time_up 
NEWGEN       2023-03-08     233.35   336.29   +44.1%  W    90 time_up 
ANANTRAJ     2023-03-09     118.03   163.67   +38.7%  W    90 time_up 
JBMA         2023-03-09     311.81   436.41   +40.0%  W    90 time_up 
LINDEINDIA   2023-03-09    4024.34  3943.71    -2.0%  L    90 time_up 
MAXHEALTH    2023-03-10     455.68   554.87   +21.8%  W    90 time_up 
AKZOINDIA    2023-03-13    2048.23  2108.47    +2.9%  W    91 time_up 
GMRAIRPORT   2023-03-15      41.35    42.05    +1.7%  W    90 time_up 
GAIL         2023-03-16      95.10    96.58    +1.6%  W    90 time_up 
NCC          2023-03-16      98.63   120.59   +22.3%  W    90 time_up 
RKFORGE      2023-03-16     282.43   418.05   +48.0%  W    90 time_up 
POWERGRID    2023-03-17     152.57   163.70    +7.3%  W    90 time_up 
ABBOTINDIA   2023-03-20   20450.09 22143.65    +8.3%  W    91 time_up 
MANAPPURAM   2023-03-22     113.43   120.31    +6.1%  W    90 time_up 
PIDILITIND   2023-03-22    1169.54  1317.86   +12.7%  W    90 time_up 
CYIENT       2023-03-24     943.43  1421.18   +50.6%  W    90 time_up 
GESHIP       2023-03-24     562.53   653.30   +16.1%  W    90 time_up 
NEULANDLAB   2023-03-27    1663.63  2852.92   +71.5%  W    91 time_up 
USHAMART     2023-03-27     206.65   264.82   +28.1%  W    91 time_up 
IIFL         2023-03-29     461.37   489.73    +6.2%  W    90 time_up 
INDIAMART    2023-03-29    2424.42  2767.92   +14.2%  W    90 time_up 
SIEMENS      2023-03-29    1937.72  2159.32   +11.4%  W    90 time_up 
ZYDUSLIFE    2023-03-29     479.12   557.63   +16.4%  W    90 time_up 
ALKEM        2023-03-31    3304.30  3417.89    +3.4%  W    91 time_up 
BDL          2023-03-31     487.34   552.19   +13.3%  W    91 time_up 
DALBHARAT    2023-03-31    1942.29  2142.50   +10.3%  W    91 time_up 
GLENMARK     2023-03-31     461.55   671.42   +45.5%  W    91 time_up 
GRSE         2023-03-31     444.44   561.45   +26.3%  W    91 time_up 
KIRLOSBROS   2023-03-31     405.13   602.69   +48.8%  W    91 time_up 
DABUR        2023-04-03     529.02   487.87    -7.8%  L    32 sl_hit  
SUNDARMFIN   2023-04-03    2331.73  2575.95   +10.5%  W    91 time_up 
KEI          2023-04-05    1738.74  2321.95   +33.5%  W    90 time_up 
LT           2023-04-05    2194.47  2392.85    +9.0%  W    90 time_up 
CHOLAFIN     2023-04-06     837.74  1181.29   +41.0%  W    90 time_up 
FINCABLES    2023-04-06     845.18   822.82    -2.6%  L    90 time_up 
JBCHEPHARM   2023-04-06     988.96  1121.06   +13.4%  W    90 time_up 
APOLLOTYRE   2023-04-10     315.58   412.17   +30.6%  W    91 time_up 
PGEL         2023-04-10     143.28   154.02    +7.5%  W    91 time_up 
BLS          2023-04-11     173.19   209.95   +21.2%  W    90 time_up 
KPRMILL      2023-04-11     606.53   620.15    +2.2%  W    90 time_up 
ANANDRATHI   2023-04-12     406.55   463.32   +14.0%  W    90 time_up 
BALRAMCHIN   2023-04-12     404.52   374.78    -7.3%  L    90 time_up 
ELECON       2023-04-12     214.51   358.58   +67.2%  W    90 time_up 
FACT         2023-04-12     284.46   474.14   +66.7%  W    90 time_up 
GRANULES     2023-04-12     298.51   306.73    +2.8%  W    90 time_up 
KEC          2023-04-13     477.93   577.46   +20.8%  W    90 time_up 
RAINBOW      2023-04-13     755.57  1059.65   +40.2%  W    90 time_up 
EXIDEIND     2023-04-17     184.93   244.37   +32.1%  W    91 time_up 
HONAUT       2023-04-17   35791.03 42809.68   +19.6%  W    91 time_up 
INDIANB      2023-04-17     286.21   310.08    +8.3%  W    91 time_up 
INDIGO       2023-04-17    1933.73  2672.93   +38.2%  W    91 time_up 
RAMCOCEM     2023-04-17     757.57   914.50   +20.7%  W    91 time_up 
COALINDIA    2023-04-18     189.66   188.02    -0.9%  L    90 time_up 
PIIND        2023-04-18    3118.53  3646.05   +16.9%  W    90 time_up 
TECHNOE      2023-04-18     351.64   417.91   +18.9%  W    90 time_up 
CARBORUNIV   2023-04-20    1026.41  1205.62   +17.5%  W    90 time_up 
GODREJCP     2023-04-21     947.58  1017.89    +7.4%  W    90 time_up 
JWL          2023-04-25     108.96   208.93   +91.8%  W    90 time_up 
ASTERDM      2023-04-26     188.92   235.34   +24.6%  W    90 time_up 
