VCP SETUP A — 2126 stocks — 2015-2026
Total: 3487 | WR: 54.7% | R:R: 2.01 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
GAIL         2016-05-25      48.81    46.94    -3.8%  L    90 time_up 
KAJARIACER   2016-05-25     495.27   593.64   +19.9%  W    90 time_up 
POWERGRID    2016-05-25      53.22    64.76   +21.7%  W    90 time_up 
CHOLAFIN     2016-05-30     183.20   225.69   +23.2%  W    91 time_up 
ELGIEQUIP    2016-05-30      84.14    87.91    +4.5%  W    91 time_up 
MUTHOOTFIN   2016-05-30     198.35   287.79   +45.1%  W    91 time_up 
NAVA         2016-05-31      38.26    51.18   +33.8%  W    90 time_up 
TARIL        2016-05-31      17.90    14.49   -19.0%  L    72 sl_hit  
INDIACEM     2016-06-01      90.62   145.80   +60.9%  W    90 time_up 
BRIGADE      2016-06-02      98.82   108.29    +9.6%  W    90 time_up 
ANANTRAJ     2016-06-03      20.22    22.40   +10.8%  W    90 time_up 
IIFL         2016-06-03     107.37   141.98   +32.2%  W    90 time_up 
KOTAKBANK    2016-06-03     152.86   161.20    +5.5%  W    90 time_up 
M&MFIN       2016-06-03     175.96   191.83    +9.0%  W    90 time_up 
SHRIRAMFIN   2016-06-07     199.25   211.45    +6.1%  W    91 time_up 
ULTRACEMCO   2016-06-07    3200.95  3921.96   +22.5%  W    91 time_up 
APARINDS     2016-06-09     455.78   507.80   +11.4%  W    90 time_up 
OBEROIRLTY   2016-06-09     284.10   287.63    +1.2%  W    90 time_up 
RELINFRA     2016-06-09     518.55   584.47   +12.7%  W    90 time_up 
WELSPUNLIV   2016-06-10     103.91    76.40   -26.5%  L    73 sl_hit  
COROMANDEL   2016-06-13     226.01   224.14    -0.8%  L    91 time_up 
ALKYLAMINE   2016-06-14     122.06   117.05    -4.1%  L    90 time_up 
DEEPAKNTR    2016-06-14      81.42   116.04   +42.5%  W    90 time_up 
IDBI         2016-06-14      66.06    71.55    +8.3%  W    90 time_up 
KPRMILL      2016-06-15      93.19   106.21   +14.0%  W    91 time_up 
WHIRLPOOL    2016-06-17     784.34   920.41   +17.4%  W    90 time_up 
