VCP SETUP B — 2126 stocks — 2015-2026
Total: 2322 | WR: 54.1% | R:R: 2.12 | Exp: +6.8%

STOCK        DATE            ENTRY     EXIT    RET%  W  DAYS REASON  
-----------------------------------------------------------------
MAHSCOOTER   2016-07-05    1175.81  1247.41    +6.1%  W    90 time_up 
MINDACORP    2016-07-05     117.15   102.76   -12.3%  L    80 sl_hit  
MRPL         2016-07-05      59.04    75.37   +27.6%  W    90 time_up 
RPOWER       2016-07-05      53.70    46.85   -12.8%  L    86 sl_hit  
FACT         2016-07-07      25.37    23.37    -7.9%  L    26 sl_hit  
HINDUNILVR   2016-07-07     789.79   749.07    -5.2%  L    90 time_up 
ABB          2016-07-11    1118.95  1022.90    -8.6%  L    36 sl_hit  
AKZOINDIA    2016-07-11    1214.93  1313.33    +8.1%  W    91 time_up 
BLUESTARCO   2016-07-11     206.93   257.35   +24.4%  W    91 time_up 
IFCI         2016-07-12      28.85    26.75    -7.3%  L    90 time_up 
TATASTEEL    2016-07-12      25.18    31.47   +25.0%  W    90 time_up 
NAUKRI       2016-07-13     160.03   173.52    +8.4%  W    92 time_up 
NAVINFLUOR   2016-07-14     410.34   431.56    +5.2%  W    91 time_up 
OLECTRA      2016-07-14      20.22    21.52    +6.4%  W    91 time_up 
ANANTRAJ     2016-07-20      22.38    21.93    -2.0%  L    90 time_up 
BERGEPAINT   2016-07-20     188.24   212.83   +13.1%  W    90 time_up 
ABREL        2016-07-22     671.08   877.59   +30.8%  W    90 time_up 
BIOCON       2016-07-22     132.79   160.77   +21.1%  W    90 time_up 
HAVELLS      2016-07-22     353.65   384.41    +8.7%  W    90 time_up 
IIFL         2016-07-22     120.82   135.80   +12.4%  W    90 time_up 
MCX          2016-07-22     190.37   164.60   -13.5%  L    52 sl_hit  
FINPIPE      2016-07-26      76.48    78.76    +3.0%  W    90 time_up 
JMFINANCIL   2016-07-26      60.72    71.71   +18.1%  W    90 time_up 
RAMCOCEM     2016-07-26     539.71   601.97   +11.5%  W    90 time_up 
LTF          2016-07-27      71.87    87.64   +21.9%  W    90 time_up 
VGUARD       2016-07-27     110.40   147.94   +34.0%  W    90 time_up 
YESBANK      2016-07-27     233.09   254.06    +9.0%  W    90 time_up 
EICHERMOT    2016-07-28    1966.61  2275.95   +15.7%  W    90 time_up 
INDIACEM     2016-07-28     117.75   150.57   +27.9%  W    90 time_up 
KPRMILL      2016-07-28     103.98   111.63    +7.4%  W    90 time_up 
NMDC         2016-07-28      14.45    16.84   +16.6%  W    90 time_up 
PGHH         2016-07-28    5430.87  5917.11    +8.9%  W    90 time_up 
PIDILITIND   2016-07-28     359.09   332.90    -7.3%  L    27 sl_hit  
SCI          2016-07-28      68.44    62.16    -9.2%  L    29 sl_hit  
AJANTPHARM   2016-07-29    1083.96  1202.81   +11.0%  W    90 time_up 
PETRONET     2016-08-01     107.55   132.88   +23.6%  W    92 time_up 
CERA         2016-08-02    2254.19  2575.38   +14.2%  W    91 time_up 
CHOLAHLDNG   2016-08-04     360.06   432.32   +20.1%  W    90 time_up 
RHIM         2016-08-04      86.11   118.70   +37.8%  W    90 time_up 
HEROMOTOCO   2016-08-05    2499.50  2474.05    -1.0%  L    90 time_up 
BOSCHLTD     2016-08-08   23022.05 21353.56    -7.2%  L    15 sl_hit  
HINDALCO     2016-08-08     139.96   158.28   +13.1%  W    91 time_up 
AARTIIND     2016-08-09     135.49   172.46   +27.3%  W    90 time_up 
TATAPOWER    2016-08-09      65.37    66.43    +1.6%  W    90 time_up 
AIAENG       2016-08-10    1047.75  1213.46   +15.8%  W    90 time_up 
CUB          2016-08-10     103.12   119.75   +16.1%  W    90 time_up 
MANAPPURAM   2016-08-10      73.18    85.65   +17.0%  W    90 time_up 
NHPC         2016-08-10      15.83    16.30    +3.0%  W    90 time_up 
ESCORTS      2016-08-11     290.88   318.43    +9.5%  W    90 time_up 
AXISBANK     2016-08-12     582.09   510.98   -12.2%  L    62 sl_hit  
BALKRISIND   2016-08-16     340.81   443.07   +30.0%  W    91 time_up 
NBCC         2016-08-18      48.53    44.49    -8.3%  L    90 time_up 
FORTIS       2016-08-22     180.76   160.79   -11.1%  L    38 sl_hit  
CCL          2016-08-23     252.43   215.68   -14.6%  L    90 time_up 
SAMMAANCAP   2016-08-25     577.81   477.68   -17.3%  L    82 sl_hit  
SYNGENE      2016-08-25     228.28   260.63   +14.2%  W    90 time_up 
CRISIL       2016-08-26    1851.52  1967.86    +6.3%  W    90 time_up 
KAJARIACER   2016-08-29     591.53   553.03    -6.5%  L    57 sl_hit  
ZEEL         2016-08-29     491.33   446.89    -9.1%  L    74 sl_hit  
DLF          2016-08-30     150.16   137.75    -8.3%  L     2 sl_hit  
ASIANPAINT   2016-08-31    1073.23   827.71   -22.9%  L    76 sl_hit  
CESC         2016-08-31      42.07    37.54   -10.8%  L    47 sl_hit  
PIIND        2016-09-01     791.64   737.76    -6.8%  L    81 sl_hit  
APOLLOTYRE   2016-09-06     176.85   162.92    -7.9%  L    90 time_up 
BASF         2016-09-06    1112.51   999.09   -10.2%  L    72 sl_hit  
EMAMILTD     2016-09-06     520.68   468.80   -10.0%  L    66 sl_hit  
JSWSTEEL     2016-09-06     168.12   147.76   -12.1%  L    51 sl_hit  
SHREECEM     2016-09-06   17300.76 15507.83   -10.4%  L    58 sl_hit  
TRITURBINE   2016-09-06     118.86   108.44    -8.8%  L    90 time_up 
FEDERALBNK   2016-09-07      68.83    64.62    -6.1%  L    90 time_up 
KIRLOSENG    2016-09-07     251.86   273.21    +8.5%  W    90 time_up 
UPL          2016-09-07     402.59   409.72    +1.8%  W    90 time_up 
BRIGADE      2016-09-08     113.12   104.89    -7.3%  L    62 sl_hit  
EXIDEIND     2016-09-09     173.33   163.57    -5.6%  L    90 time_up 
NCC          2016-09-09      78.60    70.92    -9.8%  L    20 sl_hit  
RELINFRA     2016-09-09     586.03   521.09   -11.1%  L    20 sl_hit  
PHOENIXLTD   2016-09-12     203.51   177.09   -13.0%  L    57 sl_hit  
SUNTV        2016-09-15     395.27   340.99   -13.7%  L    67 sl_hit  
RELIANCE     2016-09-16     235.68   215.92    -8.4%  L    60 sl_hit  
TATACOMM     2016-09-19     288.70   356.36   +23.4%  W    91 time_up 
MCX          2016-09-20     179.21   229.16   +27.9%  W    90 time_up 
SARDAEN      2016-09-21      17.60    19.69   +11.9%  W    90 time_up 
INDIANB      2016-09-28     192.11   177.05    -7.8%  L    90 time_up 
SRF          2016-09-29     336.33   292.58   -13.0%  L    48 sl_hit  
GSPL         2016-09-30     141.90   125.14   -11.8%  L    81 sl_hit  
JKCEMENT     2016-09-30     825.09   701.57   -15.0%  L    48 sl_hit  
GODREJIND    2016-10-03     441.48   403.73    -8.6%  L    37 sl_hit  
M&MFIN       2016-10-03     209.28   172.02   -17.8%  L    38 sl_hit  
PAGEIND      2016-10-03   14040.45 12844.55    -8.5%  L    39 sl_hit  
CANBK        2016-10-04      56.09    49.86   -11.1%  L    29 sl_hit  
HINDZINC     2016-10-04     114.72   119.03    +3.8%  W    90 time_up 
IGL          2016-10-04      73.08    80.52   +10.2%  W    90 time_up 
PNB          2016-10-04     135.19   122.15    -9.6%  L    31 sl_hit  
VEDL         2016-10-04      63.13    75.21   +19.1%  W    90 time_up 
BBTC         2016-10-05     638.70   515.77   -19.2%  L    37 sl_hit  
GMDCLTD      2016-10-05      72.58    74.31    +2.4%  W    90 time_up 
TATACONSUM   2016-10-05     139.37   119.41   -14.3%  L    29 sl_hit  
